epoch,train_acc,val_acc,gap,val_loss,lr
1,0.8068,0.8441,-0.0373,1.1305,1.00e-05
2,0.8011,0.8414,-0.0402,1.1433,9.89e-06
3,0.8116,0.8469,-0.0353,1.1228,9.57e-06
4,0.8046,0.8433,-0.0387,1.1313,9.05e-06
5,0.8064,0.8489,-0.0425,1.1295,8.35e-06
6,0.8046,0.8489,-0.0443,1.1286,7.50e-06
7,0.8214,0.8489,-0.0275,1.1191,6.55e-06
8,0.8185,0.8509,-0.0324,1.1227,5.53e-06
9,0.8277,0.8497,-0.0220,1.1186,4.48e-06
10,0.7893,0.8509,-0.0616,1.1225,3.46e-06
11,0.8125,0.8533,-0.0408,1.1117,2.51e-06
12,0.8129,0.8501,-0.0372,1.1083,1.66e-06
13,0.8068,0.8549,-0.0481,1.1126,9.64e-07
14,0.8216,0.8545,-0.0329,1.1147,4.42e-07
15,0.8141,0.8485,-0.0344,1.1129,1.19e-07
